year,country,qe_yc,export_dummy,qi_yc,import_dummy,qe_y,qe_y12,qi_y,qi_y12,month_num,date,price_ym,trend,costs_ymc,teaPrices_ym,importGDP,importGDP12,retailPrices,kilian,disease1,disease2,frost1,frost2,droughts,costs_ym,costs_ym_export,teaPrices_y,costs_y_export,price_y,disease1_y,disease2_y,frost1_y,frost2_y,droughts_y,costs_yc,id,dummy_ym,dummy_y,seq_ym,min_seq_ym,dummy_yc,dummy_brazil,dummy_colombia,dummy_vietnam,dummy_indonesia,dummy_leader,nexport_y,dummy_brazil_y,dummy_colombia_y,dummy_vietnam_y,dummy_indonesia_y,nleader_y,nfollower_y
1996,Viet Nam,717206978.4,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,10,1996-10-01,98.56,82,45.1458,1.7266,53571391.365722656,4464282.613810222,146.2,-29.007738,0,0,0,0,0,71.01816127450981,71.01816127450981,1.7266,74.74506886715567,102.06666666666666,0,0,1,1,0,57.415441666666666,47,0,0,10,1,0,0,0,1,0,1,51,1,1,1,1,4,47
1996,Viet Nam,717206978.4,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,11,1996-11-01,97.14,83,36.8641,1.6061,53571391.365722656,4464282.613810222,145.3,-4.5368875,0,0,0,0,0,72.59639215686275,72.59639215686275,1.6061,74.74506886715567,102.06666666666666,0,0,1,1,0,57.415441666666666,47,0,0,11,1,0,0,0,1,0,1,51,1,1,1,1,4,47
1996,Viet Nam,717206978.4,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,12,1996-12-01,90.04,84,40.776,1.6338,53571391.365722656,4464282.613810222,145.6,-2.0987941,0,0,0,0,0,72.31413380952381,72.31413380952381,1.6338,74.74506886715567,102.06666666666666,0,0,1,1,0,57.415441666666666,47,0,0,12,1,0,0,0,1,0,1,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,1,1996-01-01,100.33,73,NA,1.5205,53571391.365722656,4464282.613810222,152.8,3.0271837,0,0,1,1,0,74.19036333333334,74.19036333333334,1.5205,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,1,1,1,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,2,1996-02-01,110.5,74,NA,1.5156,53571391.365722656,4464282.613810222,152.9,-4.5797684,0,0,1,1,0,79.28117619047619,79.28117619047619,1.5156,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,2,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,3,1996-03-01,105.89,75,NA,1.5666,53571391.365722656,4464282.613810222,152.5,-8.3538527,0,0,1,1,0,77.29447857142857,77.29447857142857,1.5666,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,3,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,4,1996-04-01,107.09,76,NA,1.6972,53571391.365722656,4464282.613810222,151.3,-3.5694815,0,0,1,1,0,76.90595588235294,76.90595588235294,1.6972,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,4,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,5,1996-05-01,110.24,77,NA,1.7267,53571391.365722656,4464282.613810222,150.8,-6.3824422,0,0,1,1,0,77.31070098039216,77.31070098039216,1.7267,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,5,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,6,1996-06-01,105.79,78,NA,1.6628,53571391.365722656,4464282.613810222,149.2,-17.061305,0,0,1,1,0,75.70366666666666,75.70366666666666,1.6628,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,6,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,7,1996-07-01,99.97,79,NA,1.7901,53571391.365722656,4464282.613810222,147.7,-29.990803,0,0,0,1,0,72.75259848484849,72.75259848484849,1.7901,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,7,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,8,1996-08-01,102.73,80,NA,1.7371,53571391.365722656,4464282.613810222,148.1,-32.855449,0,0,0,0,0,73.34709444444445,73.34709444444445,1.7371,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,8,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,9,1996-09-01,96.52,81,NA,1.7435,53571391.365722656,4464282.613810222,147.5,-38.300576,0,0,0,0,0,73.929640625,73.929640625,1.7435,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,9,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,10,1996-10-01,98.56,82,NA,1.7266,53571391.365722656,4464282.613810222,146.2,-29.007738,0,0,0,0,0,71.01816127450981,71.01816127450981,1.7266,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,10,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,11,1996-11-01,97.14,83,NA,1.6061,53571391.365722656,4464282.613810222,145.3,-4.5368875,0,0,0,0,0,72.59639215686275,72.59639215686275,1.6061,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,11,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Yemen,7804354.799999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,12,1996-12-01,90.04,84,NA,1.6338,53571391.365722656,4464282.613810222,145.6,-2.0987941,0,0,0,0,0,72.31413380952381,72.31413380952381,1.6338,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,51,0,0,12,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,1,1996-01-01,100.33,73,93.017,1.5205,53571391.365722656,4464282.613810222,152.8,3.0271837,0,0,1,1,0,74.19036333333334,74.19036333333334,1.5205,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,1,1,1,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,2,1996-02-01,110.5,74,109.8725,1.5156,53571391.365722656,4464282.613810222,152.9,-4.5797684,0,0,1,1,0,79.28117619047619,79.28117619047619,1.5156,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,2,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,3,1996-03-01,105.89,75,52.9752,1.5666,53571391.365722656,4464282.613810222,152.5,-8.3538527,0,0,1,1,0,77.29447857142857,77.29447857142857,1.5666,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,3,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,4,1996-04-01,107.09,76,NA,1.6972,53571391.365722656,4464282.613810222,151.3,-3.5694815,0,0,1,1,0,76.90595588235294,76.90595588235294,1.6972,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,4,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,5,1996-05-01,110.24,77,NA,1.7267,53571391.365722656,4464282.613810222,150.8,-6.3824422,0,0,1,1,0,77.31070098039216,77.31070098039216,1.7267,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,5,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,6,1996-06-01,105.79,78,83.9502,1.6628,53571391.365722656,4464282.613810222,149.2,-17.061305,0,0,1,1,0,75.70366666666666,75.70366666666666,1.6628,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,6,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,7,1996-07-01,99.97,79,119.6826,1.7901,53571391.365722656,4464282.613810222,147.7,-29.990803,0,0,0,1,0,72.75259848484849,72.75259848484849,1.7901,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,7,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,8,1996-08-01,102.73,80,111.1732,1.7371,53571391.365722656,4464282.613810222,148.1,-32.855449,0,0,0,0,0,73.34709444444445,73.34709444444445,1.7371,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,8,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,9,1996-09-01,96.52,81,113.7057,1.7435,53571391.365722656,4464282.613810222,147.5,-38.300576,0,0,0,0,0,73.929640625,73.929640625,1.7435,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,9,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,10,1996-10-01,98.56,82,112.1077,1.7266,53571391.365722656,4464282.613810222,146.2,-29.007738,0,0,0,0,0,71.01816127450981,71.01816127450981,1.7266,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,10,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,11,1996-11-01,97.14,83,79.8862,1.6061,53571391.365722656,4464282.613810222,145.3,-4.5368875,0,0,0,0,0,72.59639215686275,72.59639215686275,1.6061,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,11,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zambia,4232870.399999999,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,12,1996-12-01,90.04,84,101.2142,1.6338,53571391.365722656,4464282.613810222,145.6,-2.0987941,0,0,0,0,0,72.31413380952381,72.31413380952381,1.6338,74.74506886715567,102.06666666666666,0,0,1,1,0,97.75845,48,0,0,12,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zimbabwe,23809895.999999996,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,1,1996-01-01,100.33,73,NA,1.5205,53571391.365722656,4464282.613810222,152.8,3.0271837,0,0,1,1,0,74.19036333333334,74.19036333333334,1.5205,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,49,0,0,1,1,1,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zimbabwe,23809895.999999996,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,2,1996-02-01,110.5,74,NA,1.5156,53571391.365722656,4464282.613810222,152.9,-4.5797684,0,0,1,1,0,79.28117619047619,79.28117619047619,1.5156,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,49,0,0,2,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zimbabwe,23809895.999999996,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,3,1996-03-01,105.89,75,NA,1.5666,53571391.365722656,4464282.613810222,152.5,-8.3538527,0,0,1,1,0,77.29447857142857,77.29447857142857,1.5666,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,49,0,0,3,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zimbabwe,23809895.999999996,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,4,1996-04-01,107.09,76,NA,1.6972,53571391.365722656,4464282.613810222,151.3,-3.5694815,0,0,1,1,0,76.90595588235294,76.90595588235294,1.6972,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,49,0,0,4,1,0,0,0,0,0,0,51,1,1,1,1,4,47
1996,Zimbabwe,23809895.999999996,1,0,0,10571329269.599998,880944105.7999998,129763933.19999999,10813661.1,5,1996-05-01,110.24,77,NA,1.7267,53571391.365722656,4464282.613810222,150.8,-6.3824422,0,0,1,1,0,77.31070098039216,77.31070098039216,1.7267,74.74506886715567,102.06666666666666,0,0,1,1,0,NA,49,0,0,5,1,0,0,0,0,0,0,51,1,1,1,1,4,47
